first_name,last_name,department,birthdate,hiringdate
Yurii,Kravchenko,Finance,27.7.1999,29.6.2018
Andriy,Shevchenko,Finance,2.12.1998,2.6.2019
Alexander,Kucherenko,Engineering,25.7.1986,20.7.2023
Natalia,Shevchenko,Engineering,30.6.1987,23.10.2006
Anna,Kovalenko,Finance,6.2.1994,30.6.2017
Yurii,Kravchenko,Analytical,25.1.1988,6.5.2016
Elena,Dovchenko,Finance,27.9.1986,15.11.2021
Tetyana,Shevchenko,Analytical,26.2.1996,12.9.2016
Andriy,Kovalenko,Finance,7.9.1990,19.6.2019
Ivan,Hnatenko,Engineering,25.3.2002,19.1.2021
Tetyana,Kravchenko,R_D,8.5.1983,6.11.2018
Natalia,Shevchenko,HR,5.1.1991,1.5.2013
Alexander,Kucherenko,R_D,10.4.1988,6.1.2010
Andriy,Kravchenko,HR,6.11.1994,17.1.2016
Natalia,Shevchenko,HR,21.3.1991,7.7.2017
Yurii,Grygorenko,HR,29.3.1993,14.5.2017
Natalia,Kovalenko,Finance,24.2.1985,15.10.2016
Tetyana,Kucherenko,Finance,15.12.1992,7.2.2012
Petro,Dovchenko,HR,26.3.2002,15.12.2021
Elena,Shevchenko,Engineering,18.6.2001,23.11.2022
